Mode,Threads,InterpolationTime,NormalizationTime,MoverTime,DenormalizationTime,TotalTime,Voids,Config
Parallel,2,0.049431,0.00029,0.058446,0.000208,0.108375,3,1
Parallel,4,0.02812,0.000169,0.03172,0.000126,0.060135,3,1
Parallel,8,0.029109,0.000162,0.029523,0.000107,0.058901,3,1
Parallel,16,0.032521,0.000692,0.027142,0.000607,0.060963,3,1
Parallel,2,0.267089,0.000294,0.318679,0.00021,0.586272,14,2
Parallel,4,0.149476,0.000179,0.176012,0.000131,0.325799,14,2
Parallel,8,0.13956,0.000162,0.165273,0.000116,0.30511,14,2
Parallel,16,0.1223,0.003008,0.142144,0.002012,0.269464,14,2
Parallel,2,0.201643,0.001039,0.238823,0.000733,0.442238,3,3
Parallel,4,0.108328,0.000529,0.123512,0.000389,0.232758,3,3
Parallel,8,0.1194,0.000575,0.119496,0.000355,0.239826,3,3
Parallel,16,0.121647,0.003035,0.109896,0.001593,0.236171,3,3
Parallel,2,1.105187,0.001049,1.32615,0.000761,2.433147,5,4
Parallel,4,0.56961,0.000572,0.693317,0.000413,1.263912,5,4
Parallel,8,0.57964,0.000597,0.65734,0.000837,1.238414,5,4
Parallel,16,0.481692,0.003487,0.539695,0.002259,1.027134,5,4
Parallel,2,0.971915,0.004551,1.066319,0.002968,2.045754,4,5
Parallel,4,0.550699,0.002282,0.550129,0.001674,1.104784,4,5
Parallel,8,0.892802,0.002358,0.526459,0.00253,1.42415,4,5
Parallel,16,1.966842,0.004612,0.433345,0.002664,2.407462,4,5
Serial,1,0.09649,0.000504,0.115479,0.000345,0.212818,6,1
Serial,1,0.528006,0.000497,0.637974,0.000341,1.166818,10,2
Serial,1,0.387596,0.002037,0.466114,0.0013,0.857047,3,3
Serial,1,2.149219,0.002054,2.5968,0.001293,4.749366,8,4
Serial,1,1.774919,0.008758,2.009512,0.005449,3.798638,0,5
