Mode,MPI_Ranks,OMP_Threads,Config,InterpolationTime,NormalizationTime,MoverTime,DenormalizationTime,TotalTime,Voids
Hybrid(MPI+OMP),2,1,1,0.216159,0.001691,0.155224,0.000743,0.373816,1
Hybrid(MPI+OMP),4,1,1,0.115969,0.001691,0.077805,0.000743,0.196209,1
Hybrid(MPI+OMP),8,1,1,0.120698,0.001799,0.044333,0.000762,0.167591,1
Hybrid(MPI+OMP),16,1,1,0.038436,0.001896,0.021229,0.000817,0.062378,1
Hybrid(MPI+OMP),32,1,1,0.017895,0.002054,0.011715,0.000903,0.032568,1
Hybrid(MPI+OMP),32,2,1,0.032336,0.002151,0.011961,0.000942,0.047391,2
Hybrid(MPI+OMP),2,1,2,1.162556,0.001713,0.863659,0.000762,2.02869,11
Hybrid(MPI+OMP),4,1,2,0.690518,0.001718,0.432814,0.000758,1.125807,11
Hybrid(MPI+OMP),8,1,2,0.292362,0.001846,0.230677,0.000805,0.52569,11
Hybrid(MPI+OMP),16,1,2,0.155663,0.001873,0.118181,0.000828,0.276545,11
Hybrid(MPI+OMP),32,1,2,0.087373,0.002058,0.06533,0.000918,0.155678,11
Hybrid(MPI+OMP),32,2,2,0.083842,0.002158,0.06519,0.000978,0.152167,11
Hybrid(MPI+OMP),2,1,3,0.952749,0.006776,0.689793,0.002966,1.652284,1
Hybrid(MPI+OMP),4,1,3,0.490752,0.006781,0.34268,0.002955,0.843169,1
Hybrid(MPI+OMP),8,1,3,0.256345,0.00674,0.17123,0.002973,0.437288,1
Hybrid(MPI+OMP),16,1,3,0.152937,0.007521,0.092861,0.003239,0.256558,1
Hybrid(MPI+OMP),32,1,3,0.081597,0.008222,0.050862,0.003586,0.144266,1
Hybrid(MPI+OMP),32,2,3,0.077885,0.008279,0.050928,0.003661,0.140753,1
Hybrid(MPI+OMP),2,1,4,5.129965,0.006764,3.815921,0.002963,8.955613,3
Hybrid(MPI+OMP),4,1,4,2.663189,0.00682,1.909237,0.002971,4.582217,3
Hybrid(MPI+OMP),8,1,4,1.395176,0.006805,0.959078,0.002969,2.364029,3
Hybrid(MPI+OMP),16,1,4,0.74107,0.007449,0.517818,0.003247,1.269583,3
Hybrid(MPI+OMP),32,1,4,0.386909,0.008219,0.283216,0.00359,0.681934,3
Hybrid(MPI+OMP),32,2,4,0.362243,0.008374,0.283352,0.003665,0.657635,3
Hybrid(MPI+OMP),2,1,5,3.345386,0.02678,2.658198,0.011719,6.042083,1
Hybrid(MPI+OMP),4,1,5,1.94595,0.026767,1.330027,0.011738,3.314483,1
Hybrid(MPI+OMP),8,1,5,1.163946,0.026771,0.66848,0.011725,1.870922,1
Hybrid(MPI+OMP),16,1,5,0.970236,0.029378,0.384865,0.012885,1.397364,1
Hybrid(MPI+OMP),32,1,5,0.539691,0.034091,0.422111,0.017899,1.013791,1
Hybrid(MPI+OMP),32,2,5,0.583622,0.034203,0.388985,0.014674,1.021485,1
